3-4-0-1-0,,,,,,
,2448,28.8043,4-5-1-2-0,H * 3,987.5107,3
,2465,28.89729,5-8-0-0-0,NH4 * 1;Na * 1,1480.762,2
,2465,28.89729,4-5-1-2-0,H * 2,1480.762,2
,2465,28.89729,5-8-0-0-0,NH4 * 1;Na * 2,994.8377,3
,2465,28.89729,4-5-1-2-0,Na * 1;H * 2,994.8377,3
,2465,28.89729,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5108,3
,2465,28.89729,4-5-1-2-0,H * 3,987.5108,3
,2482,28.99296,5-8-0-0-0,NH4 * 1;Na * 1,1480.761,2
,2482,28.99296,4-5-1-2-0,H * 2,1480.761,2
,2482,28.99296,5-8-0-0-0,NH4 * 1;Na * 2,994.8372,3
,2482,28.99296,4-5-1-2-0,Na * 1;H * 2,994.8372,3
,2482,28.99296,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5106,3
,2482,28.99296,4-5-1-2-0,H * 3,987.5106,3
,2499,29.0878,5-8-0-0-0,NH4 * 1;Na * 1,1480.763,2
,2499,29.0878,4-5-1-2-0,H * 2,1480.763,2
,2499,29.0878,5-8-0-0-0,NH4 * 1;Na * 2,994.8379,3
,2499,29.0878,4-5-1-2-0,Na * 1;H * 2,994.8379,3
,2499,29.0878,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.511,3
,2499,29.0878,4-5-1-2-0,H * 3,987.511,3
,2516,29.17796,5-8-0-0-0,NH4 * 1;Na * 1,1480.761,2
,2516,29.17796,4-5-1-2-0,H * 2,1480.761,2
,2516,29.17796,5-8-0-0-0,NH4 * 1;Na * 2,994.8383,3
,2516,29.17796,4-5-1-2-0,Na * 1;H * 2,994.8383,3
,2516,29.17796,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5112,3
,2516,29.17796,4-5-1-2-0,H * 3,987.5112,3
,2533,29.27246,5-8-0-0-0,NH4 * 1;Na * 2,994.8376,3
,2533,29.27246,4-5-1-2-0,Na * 1;H * 2,994.8376,3
,2533,29.27246,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5104,3
,2533,29.27246,4-5-1-2-0,H * 3,987.5104,3
,2550,29.36363,5-8-0-0-0,NH4 * 1;Na * 2,994.8386,3
,2550,29.36363,4-5-1-2-0,Na * 1;H * 2,994.8386,3
,2550,29.36363,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5109,3
,2550,29.36363,4-5-1-2-0,H * 3,987.5109,3
,2567,29.45546,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.511,3
,2567,29.45546,4-5-1-2-0,H * 3,987.511,3
,2584,29.55396,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5114,3
,2584,29.55396,4-5-1-2-0,H * 3,987.5114,3
,2601,29.6573,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5109,3
,2601,29.6573,4-5-1-2-0,H * 3,987.5109,3
,2618,29.75646,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5109,3
,2618,29.75646,4-5-1-2-0,H * 3,987.5109,3
,2720,30.38546,5-8-0-0-0,NH4 * 2;Na * 1,993.1827,3
,2720,30.38546,4-5-1-2-0,NH4 * 1;H * 2,993.1827,3
,2720,30.38546,5-8-0-0-0,NH4 * 1;Na * 2,994.8351,3
,2720,30.38546,4-5-1-2-0,Na * 1;H * 2,994.8351,3
,2805,30.92897,5-8-0-0-0,NH4 * 2;Na * 1,993.1808,3
,2805,30.92897,4-5-1-2-0,NH4 * 1;H * 2,993.1808,3
,2805,30.92897,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5098,3
,2805,30.92897,4-5-1-2-0,H * 3,987.5098,3
,3111,33.02146,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5107,3
,3111,33.02146,4-5-1-2-0,H * 3,987.5107,3
,3145,33.30596,5-8-0-0-0,NH4 * 1;Na * 2,994.8392,3
,3145,33.30596,4-5-1-2-0,Na * 1;H * 2,994.8392,3
,3145,33.30596,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5115,3
,3145,33.30596,4-5-1-2-0,H * 3,987.5115,3
,3162,33.45913,5-8-0-0-0,NH4 * 1;Na * 2,994.8366,3
,3162,33.45913,4-5-1-2-0,Na * 1;H * 2,994.8366,3
,3162,33.45913,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5112,3
,3162,33.45913,4-5-1-2-0,H * 3,987.5112,3
5-5-0-2-0,,,,,,
,2499,29.0878,5-5-0-2-0,NH4 * 1;H * 2,1016.861,3
,2499,29.0878,5-6-1-1-0,H * 3,1016.861,3
,2516,29.17796,5-5-0-2-0,NH4 * 1;H * 2,1016.862,3
,2516,29.17796,5-6-1-1-0,H * 3,1016.862,3
,2533,29.27246,5-5-0-2-0,NH4 * 1;H * 2,1016.861,3
,2533,29.27246,5-6-1-1-0,H * 3,1016.861,3
,2669,30.05813,5-5-0-2-0,NH4 * 1;H * 2,1016.862,3
,2669,30.05813,5-6-1-1-0,H * 3,1016.862,3
,2686,30.16729,5-5-0-2-0,NH4 * 1;H * 2,1016.862,3
,2686,30.16729,5-6-1-1-0,H * 3,1016.862,3
,2992,32.17379,5-5-0-2-0,NH4 * 1;H * 2,1016.863,3
,2992,32.17379,5-6-1-1-0,H * 3,1016.863,3
,3009,32.28729,5-5-0-2-0,NH4 * 1;H * 2,1016.863,3
,3009,32.28729,5-6-1-1-0,H * 3,1016.863,3
,3026,32.40346,5-5-0-2-0,NH4 * 1;H * 2,1016.863,3
,3026,32.40346,5-6-1-1-0,H * 3,1016.863,3
,3077,32.7743,5-5-0-2-0,NH4 * 1;Na * 1;H * 1,1024.19,3
,3077,32.7743,5-6-1-1-0,Na * 1;H * 2,1024.19,3
6-9-0-0-0,,,,,,
,2669,30.05813,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.252,3
,2669,30.05813,5-6-1-2-0,H * 3,1137.252,3
,2686,30.16729,6-9-0-0-0,NH4 * 1;Na * 2,1144.58,3
,2686,30.16729,5-6-1-2-0,Na * 1;H * 2,1144.58,3
,2686,30.16729,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2686,30.16729,5-6-1-2-0,H * 3,1137.251,3
,2703,30.27496,6-9-0-0-0,NH4 * 1;Na * 2,1144.582,3
,2703,30.27496,5-6-1-2-0,Na * 1;H * 2,1144.582,3
,2703,30.27496,6-9-0-0-0,NH4 * 1;Na * 1;H * 1,1137.251,3
,2703,30.27496,5-6-1-2-0,H * 3,1137.251,3
